time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/10/21/16:48:44.406342,401232,1666392524,404094934,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.454358,401233,1666392524,453291416,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.503322,401234,1666392524,502465486,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.552944,401235,1666392524,551613330,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.602045,401236,1666392524,600969552,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.655464,401237,1666392524,653716325,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.703978,401238,1666392524,703100442,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.753690,401239,1666392524,752360343,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.802580,401240,1666392524,801439523,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.851969,401241,1666392524,850657463,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.901359,401242,1666392524,899741649,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.950315,401243,1666392524,948847293,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:44.999363,401244,1666392524,998363018,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.048326,401245,1666392525,47194957,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.097542,401246,1666392525,96662759,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.150112,401247,1666392525,149356126,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.200243,401248,1666392525,198801755,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.248936,401249,1666392525,247960805,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.298686,401250,1666392525,297141790,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.347398,401251,1666392525,346359014,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.396859,401252,1666392525,395491123,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.446277,401253,1666392525,444634914,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.495270,401254,1666392525,493749856,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.545540,401255,1666392525,542952299,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.593410,401256,1666392525,592277765,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.646423,401257,1666392525,645172119,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.695198,401258,1666392525,694411516,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
2022/10/21/16:48:45.745586,401259,1666392525,743736982,,"['joint_1', 'joint_2', 'joint_3']","(0.052, -0.057, 0.15)",(),()
