time,robot_x_axis,robot_y_axis,robot_z_axis
1651873458291460514,0.035,-0.06,0.03
1651873458340499162,0.035,-0.06,0.03
1651873458389698505,0.035,-0.06,0.03
1651873458438797473,0.035,-0.06,0.03
1651873458488051652,0.035,-0.06,0.03
1651873458537139892,0.035,-0.06,0.03
1651873458586467504,0.035,-0.06,0.03
1651873458635475873,0.035,-0.06,0.03
1651873458684576272,0.035,-0.06,0.03
1651873458733723640,0.035,-0.06,0.03
1651873458783159017,0.035,-0.06,0.03
1651873458832122087,0.035,-0.06,0.03
1651873458881325483,0.035,-0.06,0.03
1651873458930523872,0.035,-0.06,0.03
1651873458979494333,0.035,-0.06,0.03
1651873459028754949,0.035,-0.06,0.03
1651873459077986001,0.035,-0.06,0.03
1651873459127186536,0.035,-0.06,0.03
1651873459176223278,0.035,-0.06,0.03
1651873459225490093,0.035,-0.06,0.03
1651873459274569988,0.035,-0.06,0.03
1651873459323582410,0.035,-0.06,0.03
1651873459376619815,0.035,-0.06,0.03
1651873459426084518,0.035,-0.06,0.03
1651873459475230693,0.035,-0.06,0.03
1651873459524484157,0.035,-0.06,0.03
1651873459573592901,0.035,-0.06,0.03
1651873459622814893,0.035,-0.06,0.03
1651873459672036409,0.035,-0.06,0.03
1651873459721134901,0.035,-0.06,0.03
1651873459770501375,0.035,-0.06,0.03
1651873459819571018,0.035,-0.06,0.03
1651873459868584394,0.035,-0.06,0.03
1651873459917912006,0.035,-0.06,0.03
1651873459966892480,0.035,-0.06,0.03
1651873460016053438,0.035,-0.06,0.03
1651873460065209627,0.035,-0.06,0.03
1651873460114339590,0.035,-0.06,0.03
1651873460164062261,0.035,-0.06,0.03
1651873460212783336,0.035,-0.06,0.03
1651873460261842489,0.035,-0.06,0.03
1651873460311042308,0.035,-0.06,0.03
1651873460360043764,0.035,-0.06,0.03
1651873460409731388,0.035,-0.06,0.03
1651873460458632469,0.035,-0.06,0.03
1651873460507685184,0.035,-0.06,0.03
1651873460556895971,0.035,-0.06,0.03
1651873460605957031,0.035,-0.06,0.03
1651873460655102729,0.035,-0.06,0.03
1651873460704201459,0.035,-0.06,0.03
1651873460753680944,0.035,-0.06,0.03
1651873460802612781,0.035,-0.06,0.03
1651873460855566740,0.035,-0.06,0.03
1651873460906396865,0.035,-0.06,0.03
1651873460954149484,0.035,-0.06,0.03
1651873461003050565,0.035,-0.06,0.03
1651873461052362918,0.035,-0.06,0.03
1651873461101361036,0.035,-0.06,0.03
1651873461150528430,0.035,-0.06,0.03
1651873461199746847,0.035,-0.06,0.03
1651873461249023914,0.035,-0.06,0.03
1651873461298230409,0.035,-0.06,0.03
1651873461347373962,0.035,-0.06,0.03
1651873461396475791,0.035,-0.06,0.03
1651873461445672750,0.035,-0.06,0.03
1651873461495039463,0.035,-0.06,0.03
1651873461543970584,0.035,-0.06,0.03
1651873461593174934,0.035,-0.06,0.03
1651873461642327547,0.035,-0.06,0.03
1651873461691440582,0.035,-0.06,0.03
1651873461740989685,0.035,-0.06,0.03
1651873461789960861,0.035,-0.06,0.03
1651873461838999032,0.035,-0.06,0.03
1651873461888064146,0.035,-0.06,0.03
1651873461937178373,0.035,-0.06,0.03
1651873461986379861,0.035,-0.06,0.03
1651873462035538911,0.035,-0.06,0.03
1651873462084692716,0.035,-0.06,0.03
1651873462134155035,0.035,-0.06,0.03
1651873462183183431,0.035,-0.06,0.03
1651873462232155323,0.035,-0.06,0.03
1651873462281214475,0.035,-0.06,0.03
1651873462334165334,0.035,-0.06,0.03
1651873462383559465,0.035,-0.06,0.03
1651873462432694673,0.035,-0.06,0.03
1651873462481936216,0.035,-0.06,0.03
1651873462531132698,0.035,-0.06,0.03
1651873462580288410,0.035,-0.06,0.03
1651873462629555463,0.035,-0.06,0.03
1651873462678666591,0.035,-0.06,0.03
1651873462730547189,0.035,-0.06,0.03
1651873462780613899,0.035,-0.06,0.03
1651873462829954147,0.035,-0.06,0.03
1651873462879069089,0.035,-0.06,0.03
1651873462928263902,0.035,-0.06,0.03
1651873462977431058,0.035,-0.06,0.03
1651873463026579618,0.035,-0.06,0.03
1651873463075822353,0.035,-0.06,0.03
1651873463125109434,0.035,-0.06,0.03
1651873463174202442,0.035,-0.06,0.03
1651873463223299026,0.035,-0.06,0.03
1651873463272521257,0.035,-0.06,0.03
1651873463321605205,0.035,-0.06,0.03
1651873463370827436,0.035,-0.06,0.03
1651873463419972419,0.035,-0.06,0.03
1651873463469208478,0.035,-0.06,0.03
1651873463518367052,0.035,-0.06,0.03
1651873463567548751,0.035,-0.06,0.03
1651873463616743326,0.035,-0.06,0.03
1651873463665945291,0.035,-0.06,0.03
1651873463715320825,0.035,-0.06,0.03
1651873463764214515,0.035,-0.06,0.03
1651873463817182779,0.035,-0.06,0.03
1651873463866643667,0.035,-0.06,0.03
1651873463915699720,0.035,-0.06,0.03
1651873463964845657,0.035,-0.06,0.03
1651873464014141321,0.035,-0.06,0.03
1651873464063127279,0.035,-0.06,0.03
1651873464112392663,0.035,-0.06,0.03
1651873464161532402,0.035,-0.06,0.03
1651873464210658550,0.035,-0.06,0.03
1651873464259835243,0.035,-0.06,0.03
1651873464309115171,0.035,-0.06,0.03
1651873464358330965,0.035,-0.06,0.03
1651873464407399177,0.035,-0.06,0.03
1651873464456610202,0.035,-0.06,0.03
1651873464505770206,0.035,-0.06,0.03
1651873464554868698,0.035,-0.06,0.03
1651873464604037523,0.035,-0.06,0.03
1651873464653335571,0.035,-0.06,0.03
1651873464702573537,0.035,-0.06,0.03
1651873464751554489,0.035,-0.06,0.03
1651873464800642967,0.035,-0.06,0.03
1651873464849718570,0.035,-0.06,0.03
1651873464898861408,0.035,-0.06,0.03
1651873464948076009,0.035,-0.06,0.03
1651873464997285842,0.035,-0.06,0.03
1651873465046420335,0.035,-0.06,0.03
1651873465095537185,0.035,-0.06,0.03
1651873465144807100,0.035,-0.06,0.03
1651873465193852663,0.035,-0.06,0.03
1651873465243034601,0.035,-0.06,0.03
1651873465295939445,0.035,-0.06,0.03
1651873465345340013,0.035,-0.06,0.03
1651873465394522190,0.035,-0.06,0.03
1651873465443712472,0.035,-0.06,0.03
1651873465492893934,0.035,-0.06,0.03
1651873465542199611,0.035,-0.06,0.03
1651873465591291904,0.035,-0.06,0.03
1651873465640476465,0.035,-0.06,0.03
1651873465689934253,0.035,-0.06,0.03
1651873465738726377,0.035,-0.06,0.03
1651873465787894964,0.035,-0.06,0.03
1651873465837766647,0.035,-0.06,0.03
1651873465886305570,0.035,-0.06,0.03
1651873465935206174,0.035,-0.06,0.03
1651873465984292268,0.035,-0.06,0.03
1651873466033466577,0.035,-0.06,0.03
1651873466082624435,0.035,-0.06,0.03
1651873466131876945,0.035,-0.06,0.03
1651873466180937528,0.035,-0.06,0.03
1651873466230172634,0.035,-0.06,0.03
1651873466279331445,0.035,-0.06,0.03
1651873466328483581,0.035,-0.06,0.03
1651873466377612590,0.035,-0.06,0.03
1651873466426750659,0.035,-0.06,0.03
1651873466476048469,0.035,-0.06,0.03
1651873466525027513,0.035,-0.06,0.03
1651873466574349403,0.035,-0.06,0.03
1651873466623674631,0.035,-0.06,0.03
1651873466673280715,0.035,-0.06,0.03
1651873466722144842,0.035,-0.06,0.03
1651873466775121927,0.035,-0.06,0.03
1651873466824355840,0.035,-0.06,0.03
1651873466873366355,0.035,-0.06,0.03
1651873466922621965,0.035,-0.06,0.03
1651873466971669673,0.035,-0.06,0.03
1651873467020818948,0.035,-0.06,0.03
1651873467069964647,0.035,-0.06,0.03
1651873467119798183,0.035,-0.06,0.03
1651873467168245553,0.035,-0.06,0.03
1651873467217299699,0.035,-0.06,0.03
1651873467266324758,0.035,-0.06,0.03
1651873467315518140,0.035,-0.06,0.03
