time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:49:29.597293,257,1666392569,594012506,,-239.24732971191406
2022/10/21/16:49:29.798065,258,1666392569,794012506,,-233.3822021484375
2022/10/21/16:49:29.998809,259,1666392569,994012506,,-20.283485412597656
2022/10/21/16:49:30.195647,260,1666392570,192012506,,-205.03421020507812
2022/10/21/16:49:30.396063,261,1666392570,392012506,,-166.9110565185547
2022/10/21/16:49:30.596809,262,1666392570,594012506,,-48.63147735595703
2022/10/21/16:49:30.798201,263,1666392570,792817415,,-240.22483825683594
2022/10/21/16:49:30.998118,264,1666392570,992817415,,-248.0449676513672
2022/10/21/16:49:31.194758,265,1666392571,191817415,,-52.541542053222656
2022/10/21/16:49:31.395473,266,1666392571,391817415,,-61.33919906616211
2022/10/21/16:49:31.596310,267,1666392571,589817415,,-243.1573944091797
2022/10/21/16:49:31.792855,268,1666392571,789817415,,-66.2267837524414
2022/10/21/16:49:31.993644,269,1666392571,987817415,,-74.04692077636719
2022/10/21/16:49:32.194532,270,1666392572,187817415,,-47.653961181640625
2022/10/21/16:49:32.390929,271,1666392572,386817415,,-135.63050842285156
2022/10/21/16:49:32.591550,272,1666392572,586817415,,-227.51710510253906
2022/10/21/16:49:32.788059,273,1666392572,785817415,,-70.13685607910156
2022/10/21/16:49:32.988739,274,1666392572,984817415,,-52.541542053222656
2022/10/21/16:49:33.190862,275,1666392573,187817415,,-126.83284759521484
2022/10/21/16:49:33.390492,276,1666392573,385771574,,5.131959915161133
2022/10/21/16:49:33.591100,277,1666392573,585771574,,-34.94622802734375
2022/10/21/16:49:33.787611,278,1666392573,785771574,,-33.968711853027344
2022/10/21/16:49:33.988161,279,1666392573,983771574,,-20.283485412597656
2022/10/21/16:49:34.188911,280,1666392574,183771574,,-33.968711853027344
2022/10/21/16:49:34.385936,281,1666392574,382771574,,-24.19355010986328
2022/10/21/16:49:34.586400,282,1666392574,581771574,,-12.46335506439209
2022/10/21/16:49:34.786882,283,1666392574,781771574,,13.9296293258667
2022/10/21/16:49:34.983636,284,1666392574,980771574,,9.042024612426758
2022/10/21/16:49:35.184400,285,1666392575,179771574,,11.974573135375977
2022/10/21/16:49:35.384927,286,1666392575,378771574,,-39.833831787109375
2022/10/21/16:49:35.581824,287,1666392575,578771574,,4.154443740844727
2022/10/21/16:49:35.786561,288,1666392575,779771574,,4.154443740844727
2022/10/21/16:49:35.983678,289,1666392575,979187788,,-11.485815048217773
2022/10/21/16:49:36.183803,290,1666392576,179187788,,11.974573135375977
2022/10/21/16:49:36.384320,291,1666392576,377187788,,8.064508438110352
2022/10/21/16:49:36.581059,292,1666392576,577187788,,11.974573135375977
2022/10/21/16:49:36.782017,293,1666392576,777187788,,16.862178802490234
2022/10/21/16:49:36.982481,294,1666392576,975187788,,5.131959915161133
2022/10/21/16:49:37.179070,295,1666392577,175187788,,-15.395903587341309
2022/10/21/16:49:37.381686,296,1666392577,374187788,,14.907145500183105
2022/10/21/16:49:37.580632,297,1666392577,573187788,,15.884661674499512
2022/10/21/16:49:37.777148,298,1666392577,773187788,,14.907145500183105
2022/10/21/16:49:37.978410,299,1666392577,972187788,,17.83969497680664
2022/10/21/16:49:38.178529,300,1666392578,171187788,,13.9296293258667
2022/10/21/16:49:38.379239,301,1666392578,373187788,,18.817211151123047
2022/10/21/16:49:38.579987,302,1666392578,572719635,,24.682308197021484
2022/10/21/16:49:38.776433,303,1666392578,772719635,,17.83969497680664
2022/10/21/16:49:38.977197,304,1666392578,970719635,,12.952113151550293
2022/10/21/16:49:39.178536,305,1666392579,170719635,,8.064508438110352
2022/10/21/16:49:39.377531,306,1666392579,369719635,,16.862178802490234
2022/10/21/16:49:39.575372,307,1666392579,568719635,,17.83969497680664
2022/10/21/16:49:39.775916,308,1666392579,768719635,,10.99705696105957
2022/10/21/16:49:39.972590,309,1666392579,967719635,,19.794727325439453
2022/10/21/16:49:40.173500,310,1666392580,166719635,,6.109476089477539
2022/10/21/16:49:40.370026,311,1666392580,365719635,,13.9296293258667
2022/10/21/16:49:40.570971,312,1666392580,565719635,,19.794727325439453
2022/10/21/16:49:40.773278,313,1666392580,764719635,,17.83969497680664
2022/10/21/16:49:40.973057,314,1666392580,966719635,,13.9296293258667
2022/10/21/16:49:41.172714,315,1666392581,170314994,,21.749759674072266
2022/10/21/16:49:41.369456,316,1666392581,368314994,,2.199411392211914
2022/10/21/16:49:41.569932,317,1666392581,568314994,,19.794727325439453
2022/10/21/16:49:41.771143,318,1666392581,768314994,,-24.19355010986328
2022/10/21/16:49:41.967552,319,1666392581,966314994,,16.862178802490234
2022/10/21/16:49:42.168305,320,1666392582,166314994,,15.884661674499512
2022/10/21/16:49:42.368770,321,1666392582,365314994,,14.907145500183105
2022/10/21/16:49:42.565424,322,1666392582,564314994,,22.727275848388672
2022/10/21/16:49:42.766622,323,1666392582,764314994,,13.9296293258667
2022/10/21/16:49:42.967500,324,1666392582,963314994,,19.794727325439453
2022/10/21/16:49:43.163391,325,1666392583,162314994,,11.974573135375977
2022/10/21/16:49:43.364046,326,1666392583,361314994,,19.794727325439453
2022/10/21/16:49:43.564871,327,1666392583,564314994,,21.749759674072266
2022/10/21/16:49:43.765601,328,1666392583,761936082,,9.042024612426758
2022/10/21/16:49:43.966419,329,1666392583,960936082,,24.682308197021484
2022/10/21/16:49:44.162852,330,1666392584,160936082,,14.907145500183105
2022/10/21/16:49:44.363488,331,1666392584,358936082,,15.884661674499512
2022/10/21/16:49:44.564501,332,1666392584,558936082,,14.907145500183105
2022/10/21/16:49:44.761038,333,1666392584,758936082,,19.794727325439453
2022/10/21/16:49:44.961564,334,1666392584,956936082,,14.907145500183105
2022/10/21/16:49:45.162398,335,1666392585,156936082,,10.99705696105957
2022/10/21/16:49:45.359035,336,1666392585,355936082,,11.974573135375977
2022/10/21/16:49:45.559664,337,1666392585,554936082,,19.794727325439453
2022/10/21/16:49:45.760356,338,1666392585,754936082,,16.862178802490234
2022/10/21/16:49:45.956986,339,1666392585,953936082,,14.907145500183105
2022/10/21/16:49:46.161827,340,1666392586,155936082,,11.974573135375977
2022/10/21/16:49:46.358907,341,1666392586,354515613,,11.974573135375977
2022/10/21/16:49:46.558992,342,1666392586,554515613,,13.9296293258667
2022/10/21/16:49:46.759637,343,1666392586,753515613,,5.131959915161133
2022/10/21/16:49:46.956390,344,1666392586,952515613,,12.952113151550293
2022/10/21/16:49:47.157126,345,1666392587,152515613,,17.83969497680664
2022/10/21/16:49:47.353887,346,1666392587,351515613,,19.794727325439453
2022/10/21/16:49:47.554338,347,1666392587,550515613,,19.794727325439453
