time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:49:16.035198,189,1666392556,26474605,,34.45746994018555
2022/10/21/16:49:16.235670,190,1666392556,225474605,,31.524921417236328
2022/10/21/16:49:16.436429,191,1666392556,425474605,,34.45746994018555
2022/10/21/16:49:16.633117,192,1666392556,623474605,,34.45746994018555
2022/10/21/16:49:16.833804,193,1666392556,823474605,,28.59237289428711
2022/10/21/16:49:17.034608,194,1666392557,23474605,,32.502437591552734
2022/10/21/16:49:17.231385,195,1666392557,221474605,,34.45746994018555
2022/10/21/16:49:17.432112,196,1666392557,421474605,,35.43498611450195
2022/10/21/16:49:17.632626,197,1666392557,623474605,,39.34507369995117
2022/10/21/16:49:17.833353,198,1666392557,825786008,,34.45746994018555
2022/10/21/16:49:18.034006,199,1666392558,24786008,,32.502437591552734
2022/10/21/16:49:18.230499,200,1666392558,223786008,,35.43498611450195
2022/10/21/16:49:18.431234,201,1666392558,423786008,,38.367557525634766
2022/10/21/16:49:18.632250,202,1666392558,622786008,,35.43498611450195
2022/10/21/16:49:18.828670,203,1666392558,821786008,,34.45746994018555
2022/10/21/16:49:19.029273,204,1666392559,21786008,,33.47995376586914
2022/10/21/16:49:19.229961,205,1666392559,219786008,,32.502437591552734
2022/10/21/16:49:19.426582,206,1666392559,419786008,,39.34507369995117
2022/10/21/16:49:19.627447,207,1666392559,619786008,,34.45746994018555
2022/10/21/16:49:19.829442,208,1666392559,817786008,,38.367557525634766
2022/10/21/16:49:20.024626,209,1666392560,17786008,,38.367557525634766
2022/10/21/16:49:20.229401,210,1666392560,219786008,,38.367557525634766
2022/10/21/16:49:20.426027,211,1666392560,417567075,,42.27762222290039
2022/10/21/16:49:20.626732,212,1666392560,617567075,,40.32258987426758
2022/10/21/16:49:20.827337,213,1666392560,816567075,,37.390018463134766
2022/10/21/16:49:21.024077,214,1666392561,15567075,,40.32258987426758
2022/10/21/16:49:21.224838,215,1666392561,214567075,,35.43498611450195
2022/10/21/16:49:21.425583,216,1666392561,414567075,,34.45746994018555
2022/10/21/16:49:21.622350,217,1666392561,613567075,,31.524921417236328
2022/10/21/16:49:21.822878,218,1666392561,812567075,,39.34507369995117
2022/10/21/16:49:22.023352,219,1666392562,12567075,,36.41250228881836
2022/10/21/16:49:22.220039,220,1666392562,211567075,,35.43498611450195
2022/10/21/16:49:22.420785,221,1666392562,410567075,,258.30889892578125
2022/10/21/16:49:22.621716,222,1666392562,610567075,,41.300106048583984
2022/10/21/16:49:22.822270,223,1666392562,811567075,,70.62561798095703
2022/10/21/16:49:23.023371,224,1666392563,11744798,,66.7155532836914
2022/10/21/16:49:23.219627,225,1666392563,210744798,,74.53568267822266
2022/10/21/16:49:23.420131,226,1666392563,409744798,,45.21017074584961
2022/10/21/16:49:23.621161,227,1666392563,609744798,,57.91788101196289
2022/10/21/16:49:23.817643,228,1666392563,808744798,,44.2326545715332
2022/10/21/16:49:24.018366,229,1666392564,7744798,,44.2326545715332
2022/10/21/16:49:24.218997,230,1666392564,206744798,,74.53568267822266
2022/10/21/16:49:24.415612,231,1666392564,406744798,,60.85042953491211
2022/10/21/16:49:24.616382,232,1666392564,606744798,,43.2551383972168
2022/10/21/16:49:24.813190,233,1666392564,804744798,,42.27762222290039
2022/10/21/16:49:25.013699,234,1666392565,4744798,,40.32258987426758
2022/10/21/16:49:25.214419,235,1666392565,202744798,,43.2551383972168
2022/10/21/16:49:25.415281,236,1666392565,405744798,,40.32258987426758
2022/10/21/16:49:25.615830,237,1666392565,605508222,,49.120235443115234
2022/10/21/16:49:25.812546,238,1666392565,804508222,,50.09775161743164
2022/10/21/16:49:26.013080,239,1666392566,3508222,,40.32258987426758
2022/10/21/16:49:26.213844,240,1666392566,202508222,,42.27762222290039
2022/10/21/16:49:26.410649,241,1666392566,402508222,,44.2326545715332
2022/10/21/16:49:26.611655,242,1666392566,601508222,,41.300106048583984
2022/10/21/16:49:26.811828,243,1666392566,800508222,,45.21017074584961
2022/10/21/16:49:27.008585,244,1666392567,508222,,39.34507369995117
2022/10/21/16:49:27.209193,245,1666392567,198508222,,42.27762222290039
2022/10/21/16:49:27.409917,246,1666392567,398508222,,47.16520309448242
2022/10/21/16:49:27.606617,247,1666392567,598508222,,51.07526779174805
2022/10/21/16:49:27.807271,248,1666392567,796508222,,46.187686920166016
2022/10/21/16:49:28.008086,249,1666392567,998508222,,52.05278396606445
