rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,layout,dim,data_offset,data
1666985363616208170,,3548,,1666985363,608193849,'',,,[],0,"[77.46823120117188, 174.24240112304688, 249.51124572753906, 51.07526779174805, 55.96284866333008, 186.95016479492188, 351.17303466796875, 48.14271926879883, 36.41250228881836, 85.28836059570312, 297.4095764160156, 46.187686920166016, 31.524921417236328, 56.940364837646484, 372.6783752441406, 42.27762222290039]"
1666985363812687024,,3549,,1666985363,807193849,'',,,[],0,"[79.42326354980469, 172.28736877441406, 251.46627807617188, 45.21017074584961, 57.91788101196289, 184.99513244628906, 345.30792236328125, 48.14271926879883, 31.524921417236328, 84.31084442138672, 303.2746887207031, 47.16520309448242, 26.637340545654297, 54.98533248901367, 362.9032287597656, 37.390018463134766]"
1666985364013445969,,3550,,1666985364,6193849,'',,,[],0,"[79.42326354980469, 172.28736877441406, 248.5337371826172, 47.16520309448242, 54.007816314697266, 181.08506774902344, 346.28546142578125, 48.14271926879883, 36.41250228881836, 85.28836059570312, 293.49951171875, 47.16520309448242, 35.43498611450195, 57.91788101196289, 360.94818115234375, 41.300106048583984]"
1666985364214268272,,3551,,1666985364,209193849,'',,,[],0,"[84.31084442138672, 174.24240112304688, 253.4213104248047, 47.16520309448242, 55.96284866333008, 185.97264099121094, 346.28546142578125, 44.2326545715332, 29.569889068603516, 84.31084442138672, 294.47705078125, 40.32258987426758, 28.59237289428711, 54.007816314697266, 362.9032287597656, 44.2326545715332]"
1666985364415087155,,3552,,1666985364,409035661,'',,,[],0,"[75.51319885253906, 175.2199249267578, 255.3763427734375, 45.21017074584961, 54.98533248901367, 185.97264099121094, 345.30792236328125, 48.14271926879883, 33.47995376586914, 85.28836059570312, 299.3646240234375, 51.07526779174805, 29.569889068603516, 59.8729133605957, 358.9931640625, 39.34507369995117]"
1666985364615726603,,3553,,1666985364,608035661,'',,,[],0,"[84.31084442138672, 174.24240112304688, 248.5337371826172, 50.09775161743164, 56.940364837646484, 187.92767333984375, 342.3753967285156, 44.2326545715332, 34.45746994018555, 88.22093200683594, 301.31964111328125, 45.21017074584961, 34.45746994018555, 56.940364837646484, 363.8807373046875, 41.300106048583984]"
1666985364816491330,,3554,,1666985364,807035661,'',,,[],0,"[81.3782958984375, 173.264892578125, 256.3538513183594, 45.21017074584961, 58.8953971862793, 186.95016479492188, 346.28546142578125, 50.09775161743164, 34.45746994018555, 82.3558120727539, 294.47705078125, 44.2326545715332, 28.59237289428711, 54.007816314697266, 360.94818115234375, 37.390018463134766]"
1666985365012912985,,3555,,1666985365,7035661,'',,,[],0,"[80.4007797241211, 174.24240112304688, 253.4213104248047, 44.2326545715332, 59.8729133605957, 184.01760864257812, 337.48779296875, 47.16520309448242, 34.45746994018555, 88.22093200683594, 296.43206787109375, 47.16520309448242, 36.41250228881836, 56.940364837646484, 360.94818115234375, 38.367557525634766]"
1666985365213503152,,3556,,1666985365,206035661,'',,,[],0,"[78.44574737548828, 172.28736877441406, 251.46627807617188, 47.16520309448242, 57.91788101196289, 184.01760864257812, 344.3304138183594, 45.21017074584961, 38.367557525634766, 87.24339294433594, 297.4095764160156, 46.187686920166016, 32.502437591552734, 57.91788101196289, 352.1505432128906, 37.390018463134766]"
1666985365414385077,,3557,,1666985365,406035661,'',,,[],0,"[79.42326354980469, 167.39979553222656, 255.3763427734375, 51.07526779174805, 56.940364837646484, 187.92767333984375, 343.3529052734375, 45.21017074584961, 42.27762222290039, 84.31084442138672, 294.47705078125, 49.120235443115234, 33.47995376586914, 55.96284866333008, 354.1055908203125, 37.390018463134766]"
1666985365610951458,,3558,,1666985365,606035661,'',,,[],0,"[80.4007797241211, 170.33233642578125, 252.4438018798828, 49.120235443115234, 54.98533248901367, 190.8602294921875, 346.28546142578125, 46.187686920166016, 38.367557525634766, 83.33332824707031, 293.49951171875, 46.187686920166016, 28.59237289428711, 58.8953971862793, 359.9706726074219, 37.390018463134766]"
1666985365813300822,,3559,,1666985365,804035661,'',,,[],0,"[82.3558120727539, 169.35482788085938, 258.30889892578125, 48.14271926879883, 54.007816314697266, 186.95016479492188, 339.4428405761719, 50.09775161743164, 37.390018463134766, 87.24339294433594, 291.54449462890625, 46.187686920166016, 31.524921417236328, 55.96284866333008, 358.0156555175781, 39.34507369995117]"
1666985366012595328,,3560,,1666985366,4035661,'',,,[],0,"[82.3558120727539, 176.19747924804688, 252.4438018798828, 48.14271926879883, 57.91788101196289, 186.95016479492188, 342.3753967285156, 49.120235443115234, 39.34507369995117, 85.28836059570312, 292.5220031738281, 40.32258987426758, 27.614856719970703, 60.85042953491211, 358.0156555175781, 44.2326545715332]"
1666985366213207594,,3561,,1666985366,204035661,'',,,[],0,"[74.53568267822266, 171.3098602294922, 255.3763427734375, 54.007816314697266, 53.03030014038086, 191.83773803710938, 343.3529052734375, 43.2551383972168, 34.45746994018555, 87.24339294433594, 293.49951171875, 49.120235443115234, 38.367557525634766, 61.827945709228516, 357.0381164550781, 41.300106048583984]"
1666985366410033686,,3562,,1666985366,403035661,'',,,[],0,"[81.3782958984375, 169.35482788085938, 255.3763427734375, 50.09775161743164, 55.96284866333008, 193.7927703857422, 343.3529052734375, 47.16520309448242, 38.367557525634766, 88.22093200683594, 297.4095764160156, 47.16520309448242, 35.43498611450195, 58.8953971862793, 356.06060791015625, 37.390018463134766]"
1666985366610714926,,3563,,1666985366,603035661,'',,,[],0,"[83.33332824707031, 169.35482788085938, 252.4438018798828, 44.2326545715332, 54.007816314697266, 190.8602294921875, 334.55523681640625, 48.14271926879883, 37.390018463134766, 81.3782958984375, 292.5220031738281, 49.120235443115234, 32.502437591552734, 60.85042953491211, 355.0830993652344, 41.300106048583984]"
1666985366811290839,,3564,,1666985366,805035661,'',,,[],0,"[84.31084442138672, 172.28736877441406, 253.4213104248047, 47.16520309448242, 55.96284866333008, 195.747802734375, 341.3978576660156, 51.07526779174805, 38.367557525634766, 84.31084442138672, 293.49951171875, 47.16520309448242, 38.367557525634766, 57.91788101196289, 358.9931640625, 36.41250228881836]"
1666985367012105918,,3565,,1666985367,3910686,'',,,[],0,"[85.28836059570312, 173.264892578125, 254.39883422851562, 53.03030014038086, 55.96284866333008, 191.83773803710938, 334.55523681640625, 46.187686920166016, 38.367557525634766, 88.22093200683594, 291.54449462890625, 47.16520309448242, 34.45746994018555, 57.91788101196289, 357.0381164550781, 41.300106048583984]"
1666985367212660371,,3566,,1666985367,203910686,'',,,[],0,"[81.3782958984375, 172.28736877441406, 249.51124572753906, 48.14271926879883, 54.98533248901367, 192.8152618408203, 335.53277587890625, 47.16520309448242, 35.43498611450195, 89.19844818115234, 289.5894470214844, 48.14271926879883, 33.47995376586914, 57.91788101196289, 353.1280517578125, 42.27762222290039]"
1666985367413460132,,3567,,1666985367,403910686,'',,,[],0,"[83.33332824707031, 170.33233642578125, 245.60118103027344, 49.120235443115234, 56.940364837646484, 193.7927703857422, 333.5777282714844, 54.007816314697266, 35.43498611450195, 85.28836059570312, 290.5669860839844, 47.16520309448242, 32.502437591552734, 56.940364837646484, 353.1280517578125, 39.34507369995117]"
